state,county,fips_code,year,annual_change_%,hpi,hpi_with_1990_base,hpi_with_2000_base,source_file
TX,Anderson,48001,1985,,100.0,115.02,82.91,FHFA - County.csv
TX,Anderson,48001,1986,4.29,104.29,119.96,86.47,FHFA - County.csv
TX,Anderson,48001,1987,-11.84,91.94,105.75,76.23,FHFA - County.csv
TX,Anderson,48001,1988,1.98,93.76,107.84,77.73,FHFA - County.csv
TX,Anderson,48001,1989,-5.64,88.47,101.76,73.35,FHFA - County.csv
TX,Anderson,48001,1990,-1.73,86.94,100.0,72.08,FHFA - County.csv
TX,Anderson,48001,1991,6.04,92.19,106.04,76.44,FHFA - County.csv
TX,Anderson,48001,1992,0.21,92.38,106.26,76.6,FHFA - County.csv
TX,Anderson,48001,1993,5.27,97.26,111.87,80.64,FHFA - County.csv
TX,Anderson,48001,1994,3.71,100.86,116.02,83.63,FHFA - County.csv
TX,Anderson,48001,1995,5.01,105.91,121.82,87.81,FHFA - County.csv
TX,Anderson,48001,1996,2.35,108.39,124.68,89.87,FHFA - County.csv
TX,Anderson,48001,1997,1.28,109.79,126.28,91.02,FHFA - County.csv
TX,Anderson,48001,1998,2.14,112.13,128.98,92.97,FHFA - County.csv
TX,Anderson,48001,1999,5.24,118.01,135.73,97.84,FHFA - County.csv
TX,Anderson,48001,2000,2.21,120.61,138.73,100.0,FHFA - County.csv
TX,Anderson,48001,2001,4.4,125.92,144.84,104.4,FHFA - County.csv
TX,Anderson,48001,2002,1.96,128.39,147.67,106.45,FHFA - County.csv
TX,Anderson,48001,2003,4.84,134.6,154.82,111.6,FHFA - County.csv
TX,Anderson,48001,2004,2.54,138.02,158.75,114.43,FHFA - County.csv
TX,Anderson,48001,2005,0.32,138.45,159.25,114.79,FHFA - County.csv
TX,Anderson,48001,2006,16.04,160.66,184.79,133.2,FHFA - County.csv
TX,Anderson,48001,2007,4.51,167.89,193.12,139.2,FHFA - County.csv
TX,Anderson,48001,2008,0.37,168.52,193.84,139.72,FHFA - County.csv
TX,Anderson,48001,2009,3.19,173.9,200.03,144.18,FHFA - County.csv
TX,Anderson,48001,2010,-2.27,169.96,195.49,140.91,FHFA - County.csv
TX,Anderson,48001,2011,-2.69,165.4,190.24,137.13,FHFA - County.csv
TX,Anderson,48001,2012,3.9,171.84,197.66,142.48,FHFA - County.csv
TX,Anderson,48001,2013,1.36,174.18,200.35,144.42,FHFA - County.csv
TX,Anderson,48001,2014,-1.49,171.59,197.37,142.27,FHFA - County.csv
TX,Anderson,48001,2015,4.96,180.11,207.16,149.33,FHFA - County.csv
TX,Anderson,48001,2016,4.23,187.73,215.93,155.64,FHFA - County.csv
TX,Anderson,48001,2017,3.39,194.09,223.25,160.92,FHFA - County.csv
TX,Anderson,48001,2018,3.44,200.76,230.92,166.45,FHFA - County.csv
TX,Anderson,48001,2019,9.72,220.28,253.38,182.64,FHFA - County.csv
TX,Anderson,48001,2020,3.61,228.23,262.51,189.22,FHFA - County.csv
TX,Anderson,48001,2021,14.02,260.21,299.31,215.75,FHFA - County.csv
TX,Anderson,48001,2022,15.41,300.3,345.42,248.98,FHFA - County.csv
TX,Anderson,48001,2023,12.79,338.71,389.59,280.82,FHFA - County.csv
TX,Anderson,48001,2024,-0.86,335.81,386.25,278.42,FHFA - County.csv
TX,Camp,48063,2001,,100.0,,,FHFA - County.csv
TX,Camp,48063,2002,5.93,105.93,,,FHFA - County.csv
TX,Camp,48063,2003,-2.9,102.86,,,FHFA - County.csv
TX,Camp,48063,2004,11.75,114.95,,,FHFA - County.csv
TX,Camp,48063,2005,10.33,126.82,,,FHFA - County.csv
TX,Camp,48063,2006,-1.49,124.94,,,FHFA - County.csv
TX,Camp,48063,2007,2.28,127.78,,,FHFA - County.csv
TX,Camp,48063,2008,12.59,143.87,,,FHFA - County.csv
TX,Camp,48063,2009,-3.61,138.67,,,FHFA - County.csv
TX,Camp,48063,2010,-5.19,131.48,,,FHFA - County.csv
TX,Camp,48063,2011,1.58,133.56,,,FHFA - County.csv
TX,Camp,48063,2012,-5.7,125.95,,,FHFA - County.csv
TX,Camp,48063,2013,14.41,144.09,,,FHFA - County.csv
TX,Camp,48063,2014,-3.19,139.5,,,FHFA - County.csv
TX,Camp,48063,2015,2.24,142.62,,,FHFA - County.csv
TX,Camp,48063,2016,9.51,156.19,,,FHFA - County.csv
TX,Camp,48063,2017,-3.94,150.03,,,FHFA - County.csv
TX,Camp,48063,2018,6.69,160.07,,,FHFA - County.csv
TX,Camp,48063,2019,15.1,184.25,,,FHFA - County.csv
TX,Camp,48063,2020,4.48,192.5,,,FHFA - County.csv
TX,Camp,48063,2021,9.59,210.96,,,FHFA - County.csv
TX,Camp,48063,2022,19.45,252.01,,,FHFA - County.csv
TX,Camp,48063,2023,4.44,263.21,,,FHFA - County.csv
TX,Camp,48063,2024,8.51,285.61,,,FHFA - County.csv
TX,Cherokee,48073,1994,,100.0,,81.23,FHFA - County.csv
TX,Cherokee,48073,1995,5.82,105.82,,85.96,FHFA - County.csv
TX,Cherokee,48073,1996,-0.7,105.08,,85.36,FHFA - County.csv
TX,Cherokee,48073,1997,6.12,111.51,,90.59,FHFA - County.csv
TX,Cherokee,48073,1998,0.5,112.07,,91.04,FHFA - County.csv
TX,Cherokee,48073,1999,2.6,114.99,,93.41,FHFA - County.csv
TX,Cherokee,48073,2000,7.06,123.1,,100.0,FHFA - County.csv
TX,Cherokee,48073,2001,-1.14,121.69,,98.86,FHFA - County.csv
TX,Cherokee,48073,2002,6.81,129.98,,105.59,FHFA - County.csv
TX,Cherokee,48073,2003,0.76,130.97,,106.39,FHFA - County.csv
TX,Cherokee,48073,2004,0.83,132.05,,107.27,FHFA - County.csv
TX,Cherokee,48073,2005,6.21,140.26,,113.94,FHFA - County.csv
TX,Cherokee,48073,2006,9.71,153.88,,125.0,FHFA - County.csv
