address,city,zip,price,beds,baths,sqft,stories,zhvi_current,zhvi_1yr_ago,zhvi_2yr_ago,zhvi_1yr_growth,zhvi_2yr_growth,zori_current,zori_1yr_ago,zori_1yr_growth,price_per_sqft,best_rent,census_median_home_value,census_median_gross_rent,census_median_hh_income,target_arv,target_rent,target_yield,source_file
6800 Woodland Dr,Athens,75752,379900.0,4.0,4,2033.0,1.0,336767.7266397373,170507.4234607554,0.0,97.50912881353166,0.0,1500.0,0.0,0.0,186.86669945892768,0.0,200000,1200,60000,336767.7266397373,1500.0,4.738088970781785,brrr_training_consolidated.csv
110 County Road 3456,Hawkins,75765,370000.0,4.0,2,2062.0,1.0,248724.5009380208,113217.19861091296,0.0,119.68791313482149,0.0,1500.0,0.0,0.0,179.43743937924344,0.0,200000,1200,60000,248724.5009380208,1500.0,4.864864864864865,brrr_training_consolidated.csv
151 Private Road 3500,Big Sandy,75755,214500.0,4.0,2,2260.0,0.0,209796.9668808084,109654.06553448067,0.0,91.3262092547201,0.0,1500.0,0.0,0.0,94.91150442477876,0.0,200000,1200,60000,209796.9668808084,1500.0,8.391608391608392,brrr_training_consolidated.csv
835 County Road 2915,Alto,75925,579000.0,4.0,4,2983.0,2.0,207719.10464913023,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,194.099899430104,0.0,200000,1200,60000,207719.10464913023,1500.0,3.1088082901554404,brrr_training_consolidated.csv
821 E Clinton Ave,Athens,75751,236500.0,3.0,2,1705.0,1.0,206976.04818059903,105669.2376272066,0.0,95.87162056642777,0.0,1030.6666666666667,0.0,0.0,138.70967741935485,1030.6666666666667,200000,1200,60000,206976.04818059903,1030.6666666666667,5.229598308668076,brrr_training_consolidated.csv
708 Park St,Gilmer,75644,229900.0,3.0,2,1610.0,1.0,210245.41246543464,116082.38084895955,0.0,81.11741930844371,0.0,1500.0,0.0,0.0,142.7950310559006,0.0,200000,1200,60000,210245.41246543464,1500.0,7.8294910830796,brrr_training_consolidated.csv
1580 FM 1745 N,Colmesneil,75938,299900.0,3.0,2,1364.0,1.0,167107.50668079208,105450.6977914506,0.0,58.469796957892015,0.0,1500.0,0.0,0.0,219.86803519061584,0.0,200000,1200,60000,167107.50668079208,1500.0,6.002000666888963,brrr_training_consolidated.csv
201 Courtland Cir,Carthage,75633,259000.0,3.0,2,1758.0,1.0,192720.908885554,126203.61123538949,0.0,52.70633462785732,0.0,1500.0,0.0,0.0,147.3265073947668,0.0,200000,1200,60000,192720.908885554,1500.0,6.94980694980695,brrr_training_consolidated.csv
14716 Fallow Ln,Tyler,75706,550000.0,4.0,4,2786.0,1.0,243470.6969710808,112286.05664742072,0.0,116.83074839432744,0.0,1500.0,0.0,0.0,197.4156496769562,0.0,200000,1200,60000,243470.6969710808,1500.0,3.272727272727273,brrr_training_consolidated.csv
3351 Cascades Ct Unit 324,Tyler,75709,990000.0,3.0,5,4916.0,1.0,274434.9977810018,136641.37785796748,0.0,100.84325998693056,0.0,1500.0,0.0,0.0,201.3832384052075,0.0,200000,1200,60000,274434.9977810018,1500.0,1.818181818181818,brrr_training_consolidated.csv
