address,city,zip,price,beds,baths,sqft,stories,fips_code,county,zip_zhvi,zhvi_current,zhvi_1yr_ago,zhvi_2yr_ago,zhvi_1yr_growth,zhvi_2yr_growth,zip_zori,zori_current,zori_1yr_ago,zori_1yr_growth,price_per_sqft,zori_estimate,best_rent,census_median_home_value,census_median_gross_rent,census_median_hh_income,target_arv,target_rent,target_yield,source_file
10410 Daw Collins Rd,Cleveland,77328,240000.0,3.0,2,1190.0,1.0,48203.0,Harrison,77328.0,252414.9595725342,253028.6944264421,249567.7507503198,-0.2425554363702075,1.1408560655991509,77328.0,1940.0,,,201.6806722689076,2308600.0,2308600.0,200000,1200,60000,252414.9595725342,2308600.0,11543.0,brrr_training_enriched.csv
6800 Woodland Dr,Athens,75752,379900.0,4.0,4,2033.0,1.0,48421.0,Smith,75752.0,336767.7266397373,338827.5471981624,323270.75825145765,-0.6079259421077757,4.175128137566031,,1500.0,,,186.86669945892768,,1500.0,200000,1200,60000,336767.7266397373,1500.0,4.738088970781785,brrr_training_enriched.csv
110 County Road 3456,Hawkins,75765,370000.0,4.0,2,2062.0,1.0,48497.0,Wood,75765.0,248724.5009380208,248546.3488496668,248441.7052859544,0.071677612315982,0.1138277696737313,,1500.0,,,179.43743937924344,,1500.0,200000,1200,60000,248724.5009380208,1500.0,4.864864864864865,brrr_training_enriched.csv
151 Private Road 3500,Big Sandy,75755,214500.0,4.0,2,2260.0,,48213.0,Henderson,75755.0,209796.9668808084,213245.6890025112,209749.5992080945,-1.617252915092781,0.0225829622048126,,1500.0,,,94.91150442477876,,1500.0,200000,1200,60000,209796.9668808084,1500.0,8.391608391608392,brrr_training_enriched.csv
7783 Patricia Ln,Orange,77632,207000.0,3.0,2,1287.0,,48203.0,Harrison,77632.0,216906.21012336385,211436.599336392,204472.3989898569,2.586879851519832,6.08092397552578,,1500.0,,,160.83916083916083,,1500.0,200000,1200,60000,216906.21012336385,1500.0,8.695652173913043,brrr_training_enriched.csv
103 Calhoun Bnd,Azle,76020,498000.0,6.0,6,3380.0,2.0,48465.0,Van Zandt,76020.0,323041.4309333884,327970.075142477,326761.87112219137,-1.5027725340330145,-1.138578432063057,76020.0,1607.1774891774892,1605.8520700856957,0.0825368112345965,147.33727810650888,5432259.9134199135,5432259.9134199135,200000,1200,60000,323041.4309333884,5432259.9134199135,13089.782923903404,brrr_training_enriched.csv
598 County Road 740,Buna,77612,189900.0,4.0,3,2957.0,2.0,48203.0,Harrison,77612.0,212877.5313350217,210407.31350866728,211263.6572463768,1.1740170933995022,0.7639146787858617,,1500.0,,,64.22049374365912,,1500.0,200000,1200,60000,212877.5313350217,1500.0,9.47867298578199,brrr_training_enriched.csv
835 County Road 2915,Alto,75925,579000.0,4.0,4,2983.0,2.0,,,75925.0,207719.10464913023,234558.1741241219,226055.5100873405,-11.442393587523902,-8.111461397745037,,1500.0,,,194.099899430104,,1500.0,200000,1200,60000,207719.10464913023,1500.0,3.1088082901554404,brrr_training_enriched.csv
821 E Clinton Ave,Athens,75751,236500.0,3.0,2,1705.0,1.0,48213.0,Henderson,75751.0,206976.04818059903,205667.7633275697,202526.26293629943,0.6361156614250745,2.197139857214066,75751.0,1030.6666666666667,,,138.70967741935485,1757286.6666666667,1757286.6666666667,200000,1200,60000,206976.04818059903,1757286.6666666667,8916.46511627907,brrr_training_enriched.csv
821 Atlanta Ave,Nederland,77627,135000.0,2.0,2,804.0,1.0,48203.0,Harrison,77627.0,207622.6462531375,202326.7278513819,195516.43261616232,2.617508056397614,6.1919161857571785,77627.0,1281.5873015873017,1163.878711831678,10.113475618982449,167.91044776119404,1030396.1904761904,1030396.1904761904,200000,1200,60000,207622.6462531375,1030396.1904761904,9159.07724867725,brrr_training_enriched.csv
708 Park St,Gilmer,75644,229900.0,3.0,2,1610.0,1.0,48203.0,Harrison,75644.0,210245.41246543464,217224.3937106666,215020.9010693349,-3.21279812364336,-2.220941582958201,,1500.0,,,142.7950310559006,,1500.0,200000,1200,60000,210245.41246543464,1500.0,7.8294910830796,brrr_training_enriched.csv
2217 Middlewood Cir,Granbury,76049,519900.0,3.0,2,1869.0,1.0,48465.0,Van Zandt,76049.0,396369.7945230153,394598.0241959456,391648.34563319007,0.4490063858479763,1.205532703627778,76049.0,1803.6944444444448,1793.582083017652,0.5638081202160034,278.17014446227927,3371104.9166666674,3371104.9166666674,200000,1200,60000,396369.7945230153,3371104.9166666674,7780.969224850935,brrr_training_enriched.csv
4351 FM 1195,Mineral Wells,76067,750000.0,4.0,3,2821.0,1.0,48465.0,Van Zandt,76067.0,196217.7987515498,195830.665840296,197186.4327862011,0.1976875836032355,-0.4912275256287747,76067.0,1275.0,,,265.86316908897555,3596775.0,3596775.0,200000,1200,60000,196217.7987515498,3596775.0,5754.84,brrr_training_enriched.csv
1580 FM 1745 N,Colmesneil,75938,299900.0,3.0,2,1364.0,1.0,48239.0,Jasper,75938.0,167107.50668079208,167525.2103481619,164690.29533098312,-0.2493377960855667,1.4677315047319677,,1500.0,,,219.86803519061584,,1500.0,200000,1200,60000,167107.50668079208,1500.0,6.002000666888963,brrr_training_enriched.csv
1849 Coral Rd,Azle,76020,140000.0,2.0,2,980.0,1.0,48465.0,Van Zandt,76020.0,323041.4309333884,327970.075142477,326761.87112219137,-1.5027725340330145,-1.138578432063057,76020.0,1607.1774891774892,1605.8520700856957,0.0825368112345965,142.85714285714286,1575033.9393939397,1575033.9393939397,200000,1200,60000,323041.4309333884,1575033.9393939397,13500.29090909091,brrr_training_enriched.csv
201 Courtland Cir,Carthage,75633,259000.0,3.0,2,1758.0,1.0,48203.0,Harrison,75633.0,192720.908885554,185595.6657521297,186995.77217884987,3.8391215142601056,3.06163965099082,,1500.0,,,147.3265073947668,,1500.0,200000,1200,60000,192720.908885554,1500.0,6.94980694980695,brrr_training_enriched.csv
13305 Hedgebrook Pl,Aledo,76008,438461.0,3.0,3,1976.0,2.0,48465.0,Van Zandt,76008.0,526677.5031402592,540349.4486605782,534782.6448205225,-2.530204399062339,-1.5155954963690874,76008.0,2619.016666666667,2530.0594596835967,3.516012504867965,221.89321862348177,5175176.933333334,5175176.933333334,200000,1200,60000,526677.5031402592,5175176.933333334,14163.659527301175,brrr_training_enriched.csv
4200 Tejas Trl,Granbury,76048,179900.0,3.0,2,1624.0,1.0,48465.0,Van Zandt,76048.0,303896.7006384653,305633.8202121108,309497.70360466326,-0.5683662797657537,-1.8097074391713104,76048.0,1628.8242424242424,1620.671477279092,0.5030485980315941,110.77586206896552,2645210.56969697,2645210.56969697,200000,1200,60000,303896.7006384653,2645210.56969697,17644.539653342767,brrr_training_enriched.csv
14716 Fallow Ln,Tyler,75706,550000.0,4.0,4,2786.0,1.0,48421.0,Smith,75706.0,243470.6969710808,254175.0673947004,253433.680966278,-4.211416380583517,-3.931199656340408,,1500.0,,,197.4156496769562,,1500.0,200000,1200,60000,243470.6969710808,1500.0,3.272727272727273,brrr_training_enriched.csv
4840 Rhea Rd,Granbury,76049,1250000.0,5.0,5,4305.0,2.0,48465.0,Van Zandt,76049.0,396369.7945230153,394598.0241959456,391648.34563319007,0.4490063858479763,1.205532703627778,76049.0,1803.6944444444448,1793.582083017652,0.5638081202160034,290.36004645760744,7764904.583333335,7764904.583333335,200000,1200,60000,396369.7945230153,7764904.583333335,7454.308400000001,brrr_training_enriched.csv
3351 Cascades Ct Unit 324,Tyler,75709,990000.0,3.0,5,4916.0,1.0,48421.0,Smith,75709.0,274434.9977810018,273469.7020771562,274507.16523236595,0.3529808591275744,-0.0262898242758342,,1500.0,,,201.3832384052075,,1500.0,200000,1200,60000,274434.9977810018,1500.0,1.818181818181818,brrr_training_enriched.csv
125 Brook Ln N,Brookeland,75931,297500.0,3.0,2,1264.0,,48039.0,Brazoria,75931.0,266317.4479667594,249357.19055066165,242135.31664690352,6.801591475523116,9.987031902132523,,1500.0,,,235.3639240506329,,1500.0,200000,1200,60000,266317.4479667594,1500.0,6.050420168067227,brrr_training_enriched.csv
4063 Rock Creek Ct,Tyler,75703,510000.0,3.0,3,2289.0,1.0,48421.0,Smith,75703.0,344497.75359654013,339478.30099497247,338080.398028675,1.478578332357685,1.898174400315522,75703.0,1217.1234920634922,1225.6596774715706,-0.6964564115944314,222.80471821756225,2785995.673333334,2785995.673333334,200000,1200,60000,344497.75359654013,2785995.673333334,6555.283937254903,brrr_training_enriched.csv
910 Hulsman Rd,Lufkin,75904,229900.0,3.0,2,1627.0,1.0,48005.0,Angelina,75904.0,202738.318849346,198685.3563561462,199850.7729078423,2.039889887976851,1.4448510253374056,75904.0,1400.0,,,141.30301167793485,2277800.0,2277800.0,200000,1200,60000,202738.318849346,2277800.0,11889.343192692477,brrr_training_enriched.csv
411 Dogwood Trl,Lufkin,75904,129000.0,2.0,1,1056.0,,48005.0,Angelina,75904.0,202738.318849346,198685.3563561462,199850.7729078423,2.039889887976851,1.4448510253374056,75904.0,1400.0,,,122.1590909090909,1478400.0,1478400.0,200000,1200,60000,202738.318849346,1478400.0,13752.558139534884,brrr_training_enriched.csv
1800 Northwood Ct,Longview,75605,364900.0,4.0,3,2305.0,1.0,48183.0,Gregg,75605.0,277736.07484567404,274029.6034724533,265454.5891708503,1.3525806432053324,4.626586307354896,75605.0,1318.4772727272727,1273.9091833291054,3.4985295640696767,158.30802603036875,3039090.113636364,3039090.113636364,200000,1200,60000,277736.07484567404,3039090.113636364,9994.267296145894,brrr_training_enriched.csv
2553 Harold,Gladewater,75647,209000.0,3.0,2,1536.0,2.0,48183.0,Gregg,75647.0,202228.1796972445,202701.82330525664,195299.45183482967,-0.2336651936765614,3.547745678402948,,1500.0,,,136.06770833333334,,1500.0,200000,1200,60000,202228.1796972445,1500.0,8.61244019138756,brrr_training_enriched.csv
308 S Roden,Gladewater,75647,225000.0,3.0,2,1344.0,1.0,48183.0,Gregg,75647.0,202228.1796972445,202701.82330525664,195299.45183482967,-0.2336651936765614,3.547745678402948,,1500.0,,,167.41071428571428,,1500.0,200000,1200,60000,202228.1796972445,1500.0,8.0,brrr_training_enriched.csv
3156 Gardendale Dr,Port Neches,77651,269900.0,4.0,2,2037.0,2.0,48203.0,Harrison,77651.0,231195.3582278254,224179.55329750213,216486.6426490192,3.129547198719233,6.794283194022663,,1500.0,,,132.49877270495827,,1500.0,200000,1200,60000,231195.3582278254,1500.0,6.669136717302705,brrr_training_enriched.csv
1085 Bailey Marie Dr,Nemo,76070,400000.0,4.0,2,2150.0,2.0,48465.0,Van Zandt,76070.0,485746.7311149629,484386.57593406487,474447.7549239744,0.2807995201508588,2.3815006128122684,,1500.0,,,186.04651162790697,,1500.0,200000,1200,60000,485746.7311149629,1500.0,4.5,brrr_training_enriched.csv
139 An County Road 4651,Palestine,75803,265000.0,3.0,2,1900.0,1.0,48295.0,Live Oak,75803.0,208798.688522386,222021.1042976179,217764.98669297493,-5.955476988127834,-4.117419566273287,,1500.0,,,139.47368421052633,,1500.0,200000,1200,60000,208798.688522386,1500.0,6.79245283018868,brrr_training_enriched.csv
6040 Jefferson Blvd,Groves,77619,130000.0,3.0,2,1290.0,1.0,48203.0,Harrison,77619.0,173997.90491024757,162252.60128889148,158999.0469628446,7.23890004108071,9.433300534756013,,1500.0,,,100.7751937984496,,1500.0,200000,1200,60000,173997.90491024757,1500.0,13.846153846153848,brrr_training_enriched.csv
13085 Westchester Ln,Beaumont,77713,179900.0,3.0,2,1490.0,2.0,48203.0,Harrison,77713.0,250702.1296919988,243656.8923446377,242294.08137009223,2.8914582631202785,3.470183123897149,77713.0,1370.4166666666667,1312.7628327564703,4.391793587661068,120.73825503355704,2041920.8333333333,2041920.8333333333,200000,1200,60000,250702.1296919988,2041920.8333333333,13620.372429127292,brrr_training_enriched.csv
130 Briar Crst,Hallsville,75650,839999.0,4.0,4,2942.0,1.0,48183.0,Gregg,75650.0,285159.2318518395,286271.54214372,281390.519327879,-0.3885507736993583,1.3393175196386653,75650.0,1477.5,,,285.5197144799456,4346805.0,4346805.0,200000,1200,60000,285159.2318518395,4346805.0,6209.728821105739,brrr_training_enriched.csv
2095 Vzcr 4714,Ben Wheeler,75752,259000.0,3.0,2,1518.0,1.0,48421.0,Smith,75752.0,336767.7266397373,338827.5471981624,323270.75825145765,-0.6079259421077757,4.175128137566031,,1500.0,,,170.61923583662715,,1500.0,200000,1200,60000,336767.7266397373,1500.0,6.94980694980695,brrr_training_enriched.csv
