metropolitan_area_name,efficiency,one_bedroom,two_bedroom,three_bedroom,four_bedroom,fmr_percentile,unnamed:_7,year
"Abilene, TX MSA",$688,$732,$945,"$1,288","$1,598",40,,2025
"Amarillo, TX HUD Metro FMR Area",$621,$713,$908,"$1,230","$1,421",40,,2025
"Atascosa County, TX HUD Metro FMR Area",$640,$801,$913,"$1,129","$1,505",40,,2025
"Austin County, TX HUD Metro FMR Area",$606,$778,$912,"$1,258","$1,561",40,,2025
"Austin-Round Rock, TX MSA","$1,092","$1,236","$1,451","$1,867","$2,194",40,,2025
"Beaumont-Port Arthur, TX MSA",$747,$798,$982,"$1,281","$1,332",40,,2025
"Brazoria County, TX HUD Metro FMR Area",$783,"$1,035","$1,179","$1,543","$2,018",40,,2025
"Brownsville-Harlingen, TX MSA",$598,$631,$803,"$1,043","$1,206",40,,2025
"College Station-Bryan, TX MSA",$759,$841,$975,"$1,385","$1,582",40,,2025
"Corpus Christi, TX MSA",$822,$909,"$1,118","$1,474","$1,720",40,,2025
"Dallas, TX HUD Metro FMR Area","$1,076","$1,150","$1,362","$1,736","$2,280",40,,2025
"El Paso, TX HUD Metro FMR Area",$558,$701,$840,"$1,174","$1,438",40,,2025
"Falls County, TX HUD Metro FMR Area",$556,$633,$757,"$1,075","$1,296",40,,2025
"Fort Worth-Arlington, TX HUD Metro FMR Area",$939,"$1,064","$1,269","$1,685","$2,098",40,,2025
"Harrison County, TX HUD Metro FMR Area",$630,$712,$899,"$1,112","$1,219",40,,2025
"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area",$944,"$1,014","$1,208","$1,603","$2,058",40,,2025
"Hudspeth County, TX HUD Metro FMR Area",$503,$631,$757,$936,"$1,296",40,,2025
"Kendall County, TX HUD Metro FMR Area",$902,"$1,087","$1,358","$1,679","$2,130",40,,2025
"Killeen-Temple, TX HUD Metro FMR Area",$637,$641,$815,"$1,158","$1,395",40,,2025
"Lampasas County, TX HUD Metro FMR Area",$601,$605,$796,"$1,083","$1,087",40,,2025
"Laredo, TX MSA",$756,$760,$942,"$1,222","$1,349",40,,2025
"Longview, TX HUD Metro FMR Area",$687,$786,$924,"$1,276","$1,467",40,,2025
"Lubbock, TX HUD Metro FMR Area",$670,$773,$951,"$1,348","$1,618",40,,2025
"Lynn County, TX HUD Metro FMR Area",$534,$616,$757,"$1,075","$1,284",40,,2025
"Martin County, TX HUD Metro FMR Area",$611,$615,$757,"$1,075","$1,296",40,,2025
"McAllen-Edinburg-Mission, TX MSA",$633,$637,$817,"$1,062","$1,176",40,,2025
"Medina County, TX HUD Metro FMR Area",$637,$692,$910,"$1,170","$1,309",40,,2025
"Midland, TX HUD Metro FMR Area","$1,158","$1,165","$1,433","$1,771","$2,453",40,,2025
"Odessa, TX MSA",$884,$934,"$1,229","$1,519","$1,771",40,,2025
"Oldham County, TX HUD Metro FMR Area",$676,$775,$988,"$1,221","$1,546",40,,2025
"Rusk County, TX HUD Metro FMR Area",$638,$642,$845,"$1,070","$1,289",40,,2025
"San Angelo, TX HUD Metro FMR Area",$659,$790,$992,"$1,314","$1,629",40,,2025
"San Antonio-New Braunfels, TX HUD Metro FMR Area",$815,$961,"$1,165","$1,500","$1,849",40,,2025
"Sherman-Denison, TX MSA",$661,$830,$985,"$1,316","$1,570",40,,2025
"Sterling County, TX HUD Metro FMR Area",$659,$790,$992,"$1,314","$1,629",40,,2025
"Texarkana, TX-Texarkana, AR HUD Metro FMR Area",$669,$670,$838,"$1,046","$1,344",40,,2025
"Tyler, TX MSA",$852,$857,"$1,037","$1,308","$1,669",40,,2025
"Victoria, TX MSA",$788,$861,"$1,068","$1,367","$1,563",40,,2025
"Waco, TX HUD Metro FMR Area",$673,$716,$915,"$1,215","$1,300",40,,2025
"Wichita Falls, TX MSA",$641,$707,$878,"$1,197","$1,362",40,,2025
"Wise County, TX HUD Metro FMR Area",$857,$872,$994,"$1,335","$1,399",40,,2025
FY2022 Texas FMR Local Area Summary,,,,,,,,2025
Locality Name,Metropolitan Area Name,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,FMR Percentile,2025
Anderson County,"Anderson County, TX",$615,$685,$831,"$1,164","$1,388",40,2025
Andrews County,"Andrews County, TX",$798,$902,"$1,079","$1,398","$1,625",40,2025
Angelina County,"Angelina County, TX",$737,$741,$881,"$1,101","$1,195",40,2025
Aransas County,"Aransas County, TX",$730,$844,$986,"$1,401","$1,440",40,2025
Archer County,"Wichita Falls, TX MSA",$641,$707,$878,"$1,197","$1,362",40,2025
Armstrong County,"Amarillo, TX HUD Metro FMR Area",$621,$713,$908,"$1,230","$1,421",40,2025
Atascosa County,"Atascosa County, TX HUD Metro FMR Area",$640,$801,$913,"$1,129","$1,505",40,2025
Austin County,"Austin County, TX HUD Metro FMR Area",$606,$778,$912,"$1,258","$1,561",40,2025
Bailey County,"Bailey County, TX",$560,$600,$757,$996,"$1,105",40,2025
