RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,date,value,source_file,zhvf,tier,State,City,Metro,CountyName
394514,4,"Dallas, TX",msa,TX,2026-01-31,2026-02-28,-0.2,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394692,5,"Houston, TX",msa,TX,2026-01-31,2026-02-28,-0.1,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
395055,24,"San Antonio, TX",msa,TX,2026-01-31,2026-02-28,-0.1,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394355,29,"Austin, TX",msa,TX,2026-01-31,2026-02-28,-0.5,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394843,67,"McAllen, TX",msa,TX,2026-01-31,2026-02-28,0.4,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394561,69,"El Paso, TX",msa,TX,2026-01-31,2026-02-28,0.3,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394746,120,"Killeen, TX",msa,TX,2026-01-31,2026-02-28,0.1,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394502,129,"Corpus Christi, TX",msa,TX,2026-01-31,2026-02-28,0.3,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394421,130,"Brownsville, TX",msa,TX,2026-01-31,2026-02-28,0.6,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394372,140,"Beaumont, TX",msa,TX,2026-01-31,2026-02-28,0.5,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394808,162,"Lubbock, TX",msa,TX,2026-01-31,2026-02-28,0.3,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394803,173,"Longview, TX",msa,TX,2026-01-31,2026-02-28,0.6,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
395197,178,"Waco, TX",msa,TX,2026-01-31,2026-02-28,0.2,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394323,186,"Amarillo, TX",msa,TX,2026-01-31,2026-02-28,0.4,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394772,187,"Laredo, TX",msa,TX,2026-01-31,2026-02-28,0.3,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394483,189,"College Station, TX",msa,TX,2026-01-31,2026-02-28,0.2,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
395174,201,"Tyler, TX",msa,TX,2026-01-31,2026-02-28,0.2,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394299,251,"Abilene, TX",msa,TX,2026-01-31,2026-02-28,0.8,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394860,254,"Midland, TX",msa,TX,2026-01-31,2026-02-28,0.3,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
394930,271,"Odessa, TX",msa,TX,2026-01-31,2026-02-28,0.6,Metro_zhvf_growth_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,growth,0,,,,
