property_id,address,zip,city,county,metro,neighborhood,event_date,zhvi_latest,zhvi_3mo_pct,zhvi_12mo_pct,zhvi_volatility,rent_latest,rent_3mo_pct,rent_12mo_pct,sales_count_12mo,sales_count_3mo,median_sale_12mo,inventory_latest,mortgage_payment_latest,inventory_ratio,feature_source_files,source_file
p001,309 E Brandon St,75760,Overton,Smith,Tyler,Central,2026-02-01,502501.6496430749,,,,,,,3,3,0.9,0.9,1627.840119887299,0.3,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,enriched_east_tx.csv
p002,210 N Stephens St,75438,Quitman,Wood,Longview,Central,2026-02-01,502501.6496430749,,,,,,,2226170,557229,186320.23344283493,186320.23344283493,1627.840119887299,0.0836954201354051,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,enriched_east_tx.csv
p003,2901 Sunset Ln,75662,Kilgore,Gregg,Longview,Northside,2026-02-01,287880.9033023396,,,,1785.9166666666667,,,17468,5301,1.1,1.1,1627.840119887299,6.297229219143578e-05,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;Zip_zori_uc_sfrcondomfr_sm_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,enriched_east_tx.csv
p004,407 Baker St,75771,Lindale,Smith,Tyler,North,2026-02-01,527820.4347088503,,,,,,,0,0,-0.1,-0.1,1627.840119887299,,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,enriched_east_tx.csv
p005,10748 W Hwy 84,75785,Rusk,Rusk,Tyler,West,2026-02-01,469378.59610378335,,,,,,,0,0,-0.3,-0.3,1627.840119887299,,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,enriched_east_tx.csv
p006,307 N Longview St,75662,Kilgore,Gregg,Longview,Northside,2026-02-01,287880.9033023396,,,,1785.9166666666667,,,17468,5301,1.1,1.1,1627.840119887299,6.297229219143578e-05,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;Zip_zori_uc_sfrcondomfr_sm_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,enriched_east_tx.csv
p007,430 Seminole,75438,Quitman,Wood,Longview,Central,2026-02-01,502501.6496430749,,,,,,,2226170,557229,186320.23344283493,186320.23344283493,1627.840119887299,0.0836954201354051,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,enriched_east_tx.csv
p008,908 Burns St,75662,Kilgore,Gregg,Longview,Northside,2026-02-01,287880.9033023396,,,,1785.9166666666667,,,17468,5301,1.1,1.1,1627.840119887299,6.297229219143578e-05,Neighborhood_zhvi_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv;Zip_zori_uc_sfrcondomfr_sm_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,enriched_east_tx.csv
p009,5961 Club Dr,75644,Gilmer,Gilmer,Longview,Rural,2026-02-01,263155.6781188036,,,,1004.1666666666669,,,1007,1007,1.4,1.4,1627.840119887299,0.001390268123138,county-zhvi-tier.csv;Zip_zori_uc_sfrcondomfr_sm_month.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,enriched_east_tx.csv
p010,18958 County Road 356,75693,Winona,Smith,Tyler,Rural,2026-02-01,198667.1625183814,,,,,,,3,3,2.2,2.2,1627.840119887299,0.7333333333333334,county-zhvi-tier.csv;for-sale-inventory.csv;Metro_mortgage_payment_downpayment_0.20_uc_sfrcondo_tier_0.33_0.67_sm_sa_month.csv,enriched_east_tx.csv
