address,price,beds,baths,sqft,type,agent,details,zip,county,census_median_home_value,census_median_gross_rent,census_median_hh_income,census_vacancy_pct,census_renter_pct,census_unemployment_pct,census_old_housing_pct,census_population,source_file
"115 County Road 2938, Hughes Springs, TX 75656",34999.0,3,2,1350.0,House for sale,"LPT REALTY, LLC","Price cut: $4,001 (2/19)",75656,Cass,102400.0,712.0,42567.0,19.8,25.2,6.3,27.4,28684.0,properties_sheet5_enriched.csv
"1401 Gay St, Longview, TX 75602",45000.0,3,2,2418.0,House for sale,"TEXAS REAL ESTATE EXECUTIVES, THE DANIELS GROUP - GILMER",310 days on Zillow,75602,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"376 Sandlewood Loop, Avinger, TX 75630",45000.0,3,2,1428.0,House for sale,,Added privacy,75630,Cass,102400.0,712.0,42567.0,19.8,25.2,6.3,27.4,28684.0,properties_sheet5_enriched.csv
"430 Seminole, Quitman, TX 75783",46610.0,3,2,,Foreclosure,"STARCREST REALTY, LLC",34 days on Zillow,75783,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"105 Lodge St, Ore City, TX 75683",49999.0,3,2,984.0,House for sale,1ST TEXAS REALTY SERVICES,28 days on Zillow,75683,Upshur,155600.0,888.0,55426.0,12.8,17.3,4.9,18.5,41784.0,properties_sheet5_enriched.csv
"107 Electra St, Longview, TX 75602",53999.0,3,2,1232.0,House for sale,1ST TEXAS REALTY SERVICES,247 days on Zillow,75602,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"11006 Fm 225 S, Laneville, TX 75667",55000.0,3,2,1590.0,House for sale,L4 PROPERTY GROUP,"Price cut: $10,000 (1/29)",75667,Rusk,130200.0,835.0,52156.0,14.2,22.1,5.1,19.2,52215.0,properties_sheet5_enriched.csv
"110 Acorn Dr, Marshall, TX 75670",58989.0,4,2,1800.0,House for sale,1ST TEXAS REALTY SERVICES,Traditional uphill look,75670,Harrison,168400.0,1015.0,61122.0,10.9,28.7,5.8,17.1,69159.0,properties_sheet5_enriched.csv
"410 Timberline Dr, Longview, TX 75604",65000.0,3,2,1508.0,House for sale,"REAL BROKER, LLC",117 days on Zillow,75604,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"12364 State Highway 43 E, Tatum, TX 75691",65000.0,3,2,1219.0,House for sale,"JOSEPH WALTER REALTY, LLC",117 days on Zillow,75691,Rusk,130200.0,835.0,52156.0,14.2,22.1,5.1,19.2,52215.0,properties_sheet5_enriched.csv
"301 S Roberts St, Gilmer, TX 75644",65000.0,3,2,1064.0,House for sale,HHH PROPERTIES MANAGEMENT LLC,247 days on Zillow,75644,Upshur,155600.0,888.0,55426.0,12.8,17.3,4.9,18.5,41784.0,properties_sheet5_enriched.csv
"210 N Stephens St, Quitman, TX 75783",69000.0,3,2,1681.0,House for sale,QUITMAN REALTY,48 days on Zillow,75783,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"334 County Road 3523, Bullard, TX 75757",69900.0,3,3,1136.0,Foreclosure,BERKSHIRE HATHAWAY HOMESERVICES MILES REALTY-TYLER,161 days on Zillow,75757,Cherokee,121800.0,792.0,47792.0,15.3,27.4,5.2,21.3,46649.0,properties_sheet5_enriched.csv
"829 N Prairieville St, Athens, TX 75751",69900.0,2,3,1238.0,House for sale,KELLER WILLIAMS REALTY-TYLER,Add outdoor entertaining areas,75751,Henderson,148100.0,927.0,52861.0,16.0,20.8,5.5,16.8,82737.0,properties_sheet5_enriched.csv
